Movie Name,IMDB Rating,Rotten Tomatoes Users,Rotten Tomatoes Critics,Metacritic Users,Metacritic Critics
Mansfield Park,6.7,7.7,7.7,7.0,7.1
Next Stop Wonderland,6.6,7.4,7.4,5.2,7.1
Macbeth,5.3,7.6,8.6,7.2,7.1
Warrior,7.2,9.2,8.4,8.5,7.1
Requiem for a Dream,8.3,9.3,7.8,8.7,7.1
Where the Wild Things Are,6.7,5.7,7.3,6.5,7.1
Fallen Angels,6.4,8.6,9.5,7.8,7.1
Collateral,7.5,8.4,8.6,8.5,7.1
Carandiru,7.6,8.6,6.8,7.4,7.1
Carnage,3.5,1.4,2.5,5.0,7.1
Shadow of the Vampire,6.9,7.4,8.1,7.6,7.1
Twin Falls Idaho,7.1,8.4,7.8,6.0,7.1
Pleasantville,5.9,7.9,8.6,8.6,7.1
Waiting for Guffman,7.4,9.1,9.1,7.2,7.1
House of Sand and Fog,7.5,8.3,7.4,8.5,7.1
Clockers,6.9,7.4,7.3,7.0,7.1
Manhattan Murder Mystery,7.3,8.3,9.4,7.5,7.1
Don't Breathe,6.4,7.9,8.8,8.0,7.1
Molly's Game,7.4,8.4,8.2,7.4,7.1
Star Trek IV: The Voyage Home,7.3,8.1,8.2,7.6,7.1
Beyond the Gates,5.1,2.9,8.3,7.4,7.1
Mayor of the Sunset Strip,7.0,7.7,8.7,7.8,7.1
Breath,7.5,7.3,8.0,8.3,7.1
Holes,7.0,7.6,7.8,7.7,7.1
In July,7.6,8.9,8.9,7.3,7.1
Tape,7.2,7.6,7.7,7.3,7.1
Waking Ned Devine,7.3,8.8,8.4,7.4,7.1
Drinking Buddies,6.1,4.9,8.4,6.5,7.1
The Theory of Everything,6.5,8.4,8.0,7.8,7.1
Dogman,8.4,7.8,8.4,8.2,7.1
The Road,8.0,5.9,6.5,6.2,7.1
Cam,7.7,5.3,9.3,6.6,7.1
Dawn of the Dead,7.8,9.0,9.3,7.1,7.1
Sweetheart,6.0,5.0,9.3,5.2,7.1
Rain,7.2,8.4,8.5,4.7,7.1
Sunshine,7.9,7.3,7.6,8.1,7.1
October Sky,7.8,8.8,9.1,8.3,7.1
Men in Black,7.7,8.0,9.1,8.6,7.1
Piranha,2.8,4.4,7.4,6.3,7.1
Donnie Darko,8.0,8.0,8.7,7.9,7.1
Bliss,5.4,4.4,2.8,8.2,7.1
Ghostbusters,7.8,8.8,9.5,8.3,7.1
Our Brand Is Crisis,6.9,3.4,3.7,7.7,7.1
Dracula,7.4,5.8,5.9,7.0,7.1
Rocky,6.6,6.9,9.2,8.6,7.0
Fort Tilden,5.6,4.8,8.8,6.0,7.0
Prisoners,6.0,8.7,8.1,8.5,7.0
Bird People,6.1,3.9,6.1,6.9,7.0
Batman Begins,8.2,9.4,8.4,8.3,7.0
Cure,7.5,8.4,9.3,7.6,7.0
Bad Company,6.2,3.1,2.7,6.1,7.0
Quills,7.2,8.3,7.5,7.2,7.0
Hamlet,2.9,9.1,10.0,,8.2
Good Will Hunting,8.3,9.4,9.7,8.6,7.0
In & Out,6.4,5.2,7.3,2.4,7.0
Smoke,6.7,8.9,8.8,7.6,7.0
"I Love You, Man",7.0,7.4,8.3,7.8,7.0
The Walk,5.6,6.7,2.1,7.5,7.0
Late Night,7.4,7.7,7.9,6.0,7.0
Galaxy Quest,7.4,7.9,9.0,8.1,7.0
Sweet and Lowdown,7.2,8.2,7.7,7.9,7.0
Bringing Out the Dead,6.8,7.0,7.3,4.6,7.0
Cookie's Fortune,6.8,6.6,8.6,7.4,7.0
1900,7.7,8.4,5.7,5.2,7.0
Catch-22,7.1,7.6,8.1,6.7,7.0
Starman,7.0,7.0,8.6,8.0,7.0
Vicky Cristina Barcelona,7.1,7.4,8.0,7.0,7.0
Public Enemies,7.4,5.9,6.8,7.5,7.0
Resurrection,5.1,7.6,8.3,5.8,7.0
Tsotsi,7.2,8.6,8.2,7.7,7.0
The Nice Guys,6.5,7.9,9.1,7.7,7.0
Bob Roberts,7.0,7.8,9.5,4.5,7.0
The Little Prince,6.3,8.4,9.2,7.7,7.0
Owning Mahowny,7.0,7.5,7.8,7.1,7.0
Devils on the Doorstep,8.2,9.5,9.1,7.2,7.0
Girlfight,6.7,7.5,8.7,7.1,7.0
Spring,7.2,7.0,8.5,7.1,7.0
Unstrung Heroes,6.7,6.1,7.5,6.2,7.0
Roger & Me,7.5,7.9,10.0,5.6,7.0
Bad Lieutenant,7.0,7.3,7.7,7.0,7.0
Test,7.5,5.7,8.2,6.8,7.0
Barfly,7.1,8.2,7.6,6.4,7.0
Captain America: The Winter Soldier,7.7,9.2,9.0,8.3,7.0
Gremlins,7.3,7.8,8.6,7.2,7.0
Millennium Actress,7.8,9.0,9.3,7.9,7.0
Freaky Friday,6.3,5.7,8.8,8.1,7.0
Gunner Palace,6.6,6.6,8.5,8.2,7.0
Curse of the Golden Flower,7.0,6.5,6.5,7.5,7.0
Elephant,7.1,7.9,7.4,7.0,7.0
Elling,7.5,9.1,8.5,6.6,7.0
Primary Colors,6.7,6.4,8.1,8.2,7.0
Ed Wood,7.8,8.8,9.3,7.2,7.0
Liar Liar,6.9,7.5,8.3,8.7,7.0
Dead Calm,6.8,6.3,8.3,7.8,7.0
Happy Together,5.9,9.1,8.4,8.0,7.0
Who Killed the Electric Car?,7.6,8.4,8.9,8.0,7.0
Outsourced,7.0,7.3,7.6,7.3,7.0
Teddy Bear,8.2,8.0,9.4,8.2,7.0
Audition,6.5,10.0,8.0,7.9,7.0
Lethal Weapon 2,7.3,7.7,8.2,8.1,7.0
Wuthering Heights,7.1,4.7,6.9,6.5,7.0
21 Grams,7.6,8.6,8.1,7.7,7.0
Benjamin,6.1,7.7,9.0,2.6,7.0
The Poseidon Adventure,7.1,7.6,8.2,7.7,7.0
Pulse,5.4,6.0,7.6,7.0,7.0
Pure,6.9,5.9,7.4,7.8,7.0
Hellbender,7.6,5.3,9.7,5.4,7.0
Contagion,4.8,6.3,8.5,7.0,7.0
Fido,6.7,7.2,7.3,8.0,7.0
Pieces of April,7.0,7.3,8.4,8.0,7.0
Bad Santa,7.1,7.5,7.8,8.6,7.0
It Might Get Loud,7.6,8.5,7.9,8.3,7.0
Places in the Heart,7.4,8.3,8.9,8.1,7.0
I.O.U.S.A.,7.5,8.6,8.8,6.5,7.0
Fearless,7.1,8.0,8.5,8.3,7.0
Cedar Rapids,6.3,5.9,8.6,7.0,7.0
Beetlejuice,7.5,8.2,8.5,8.6,7.0
Lars and the Real Girl,7.3,8.4,8.1,7.9,7.0
Boy,6.8,8.6,8.8,7.3,7.0
Clerks,7.7,8.9,9.0,8.4,7.0
Thumbsucker,6.5,7.1,7.1,7.1,6.9
Kicks,6.4,7.3,8.5,6.9,6.9
Inglourious Basterds,8.4,8.8,8.9,7.8,6.9
Dragon: The Bruce Lee Story,7.0,7.9,7.4,6.8,6.9
Never Let Me Go,6.2,7.0,7.1,7.7,6.9
Batman,6.1,8.4,7.3,8.1,6.9
Revolutionary Road,7.3,7.1,6.7,7.3,6.9
Live Free or Die Hard,7.1,8.6,8.2,6.9,6.9
Training Day,7.7,8.9,7.4,8.7,6.9
Body Double,6.8,6.5,7.7,6.8,6.9
Romeo and Juliet,7.2,5.4,7.8,7.4,6.9
Time After Time,7.1,7.2,8.7,7.7,6.9
Lion,5.0,9.1,8.4,7.9,6.9
Cinderella Man,8.0,9.1,8.0,8.6,6.9
Rocketman,7.8,8.8,8.9,7.4,6.9
Monsoon,4.4,8.3,6.7,6.8,6.9
Duplicity,5.2,3.7,6.5,5.1,6.9
It,7.2,8.1,8.8,7.8,6.9
Funny Games,7.5,5.4,5.1,5.5,6.9
Monster's Ball,7.1,6.7,8.5,4.0,6.9
Small Time Crooks,6.6,5.7,6.6,6.6,6.9
There's Something About Mary,7.1,6.1,8.4,8.4,6.9
Penguins,4.7,8.0,9.2,7.1,6.9
Julia,7.7,7.0,7.4,7.4,6.9
High Plains Drifter,7.4,8.6,9.4,7.8,6.9
Blockers,6.2,5.1,8.4,6.2,6.9
Out of Africa,7.1,8.2,6.1,7.0,6.9
Nurse Betty,6.3,4.5,8.3,1.1,6.9
Slums of Beverly Hills,6.7,6.8,8.1,7.7,6.9
American Hardcore,7.3,7.8,7.2,8.0,6.9
Chronicle,8.5,7.1,8.5,7.4,6.9
Arthur Christmas,7.1,7.7,9.2,7.4,6.9
Chronic,6.6,5.5,7.6,6.5,6.9
Into the Woods,8.7,4.9,7.1,6.0,6.9
Doctor Zhivago,7.9,8.8,8.4,8.2,6.9
Leto,8.0,7.6,7.9,7.6,6.9
Captain Underpants: The First Epic Movie,6.2,6.2,8.7,6.7,6.9
Predestination,7.5,7.5,8.4,7.9,6.9
Gremlins 2: The New Batch,6.4,5.8,7.1,6.6,6.9
Sunshine State,6.8,5.8,8.0,6.0,6.9
"O Brother, Where Art Thou?",7.7,8.9,7.9,7.8,6.9
Bastards,6.4,3.6,6.8,5.5,6.9
Raising Arizona,7.3,8.5,9.0,8.4,6.9
Live Flesh,7.3,8.7,8.0,7.2,6.9
Slacker,7.0,7.7,8.1,8.1,6.9
25th Hour,7.6,8.5,7.9,8.4,6.9
The Fault in Our Stars,8.5,8.5,8.1,7.4,6.9
Welcome to Me,7.8,4.6,7.2,6.8,6.9
Europa,7.6,8.8,8.1,7.7,6.9
Inferno,7.0,6.0,6.3,7.0,6.9
21 Jump Street,7.2,8.2,8.5,7.9,6.9
Redbelt,6.7,6.5,6.7,6.6,6.9
Hard Times,7.2,8.1,9.3,7.5,6.9
Fair Game,5.9,3.3,6.4,6.8,6.9
World's Greatest Dad,6.9,6.7,8.8,7.4,6.9
Around the World in 80 Days,6.6,5.7,7.0,7.0,6.9
The Drop,2.6,7.6,8.9,7.5,6.9
Wilbur Wants to Kill Himself,6.8,7.1,8.4,7.9,6.9
Kill Bill: Vol. 1,8.2,8.1,8.5,8.7,6.9
Divided We Fall,7.5,9.0,9.0,7.6,6.9
Salvador,7.4,8.5,9.0,7.4,6.9
The Monster,6.2,4.0,8.0,6.0,6.9
Scott Pilgrim vs. the World,7.5,8.4,8.2,8.0,6.9
The Golden Voyage of Sinbad,6.8,6.4,7.5,6.8,6.9
Man Up,7.3,6.9,8.0,6.9,6.9
Starter for 10,6.7,6.6,9.0,7.3,6.9
Infamous,8.0,3.8,2.1,8.1,6.8
Star Trek Beyond,7.6,8.0,8.6,6.6,6.8
Icarus,7.6,9.3,9.2,7.4,6.8
North Country,7.3,7.6,6.9,7.4,6.8
The Night,5.9,5.1,8.0,5.0,6.8
Like Crazy,6.6,6.1,7.2,7.2,6.8
The Hunger Games,8.2,8.1,8.4,7.0,6.8
Jump Tomorrow,7.1,8.8,8.2,8.2,6.8
eXistenZ,6.8,6.9,7.4,6.0,6.8
Eyes Wide Shut,7.5,7.4,7.6,5.7,6.8
Babe: Pig in the City,5.8,4.1,6.5,6.6,6.8
Doubt,4.4,7.8,7.9,7.9,6.8
Braveheart,7.8,8.5,7.5,8.3,6.8
Deepwater Horizon,7.1,8.2,8.2,7.1,6.8
Lamb,6.3,6.1,8.6,6.1,6.8
End of Watch,7.3,8.6,8.5,7.6,6.8
Manhunt,7.8,2.7,6.7,4.4,6.8
Apocalypto,7.8,7.9,6.5,7.6,6.8
Dirty Rotten Scoundrels,7.4,8.4,8.9,8.1,6.8
Twister,5.3,5.8,6.3,7.1,6.8
Smile,7.1,7.7,8.0,,7.9
Chopper,7.5,8.9,7.6,4.5,6.8
The Meddler,7.8,5.6,8.5,6.1,6.8
The Conjuring,7.5,8.3,8.6,8.1,6.8
Henry Fool,7.1,8.2,8.9,6.2,6.8
We Need to Talk About Kevin,7.5,7.8,7.5,7.4,6.8
Watermark,4.8,5.8,7.7,5.7,6.8
Monster House,7.0,6.4,7.5,8.2,6.8
Black Mass,5.0,6.8,7.3,7.5,6.8
The Wave,7.1,6.0,6.8,6.3,6.8
The Hateful Eight,7.8,7.7,7.4,7.6,6.8
Shaolin Soccer,7.3,8.4,9.0,8.4,6.8
Back to School,6.7,6.8,8.6,8.2,6.8
All of Me,5.9,10.0,10.0,5.8,6.8
10,6.1,5.3,6.8,6.3,6.8
The Great Train Robbery,7.3,6.9,7.4,6.1,6.8
Office Space,7.2,9.3,8.0,6.7,6.8
Charlotte's Web,6.9,6.2,7.8,6.9,6.8
For Your Consideration,6.3,4.3,5.3,6.0,6.8
Hustle & Flow,7.3,8.2,8.2,8.4,6.8
Alice in Wonderland,6.2,7.8,8.4,7.8,6.8
Why Don't You Play in Hell?,7.1,8.0,8.0,7.4,6.8
Miracle,8.1,9.0,8.1,7.7,6.8
Heaven,6.7,6.7,6.3,7.5,6.8
Bread and Tulips,7.3,8.6,7.1,6.3,6.8
Little Voice,7.0,7.4,8.0,8.0,6.8
Popstar: Never Stop Never Stopping,6.7,6.5,7.9,8.2,6.8
Take This Waltz,6.5,5.8,7.9,6.5,6.8
Bears,7.1,7.8,8.9,7.1,6.8
Clueless,6.9,7.6,8.1,8.2,6.8
Hustle,6.2,9.3,9.3,7.0,6.8
Avengers: Infinity War,8.4,9.2,8.5,8.5,6.8
Sorcerer,7.7,8.4,8.0,8.5,6.8
Fletch,6.9,8.1,7.7,7.5,6.8
John Wick,8.3,8.1,8.6,8.1,6.8
Chef,4.1,8.5,8.7,7.7,6.8
Why We Fight,7.0,8.8,7.8,7.7,6.8
Down Terrace,6.4,6.2,8.6,5.5,6.8
On Golden Pond,7.6,8.7,9.3,7.5,6.8
Rise of the Planet of the Apes,7.6,7.7,8.2,7.8,6.8
Shall We Dance?,7.7,8.9,9.1,7.5,6.8
Timecrimes,7.1,7.9,9.0,7.2,6.8
Yentl,6.6,7.5,6.5,7.7,6.8
Hair,7.5,8.7,8.2,7.1,6.8
My Cousin Vinny,7.6,8.7,8.7,7.7,6.8
Delirious,5.8,3.9,2.9,7.6,6.8
Stripes,6.8,7.9,8.8,7.3,6.8
Paranormal Activity,6.3,5.7,8.3,5.9,6.8
Afterglow,6.0,4.3,7.6,5.0,6.8
Star Trek II: The Wrath of Khan,7.7,9.0,8.6,8.2,6.8
Paris,2.5,6.6,6.6,5.5,6.8
Fracture,7.5,7.3,7.2,8.4,6.8
Departures,8.0,9.2,8.0,8.0,6.8
Never Say Never Again,6.1,3.7,7.1,5.8,6.8
Neighbors,4.4,4.9,5.7,6.3,6.8
Jude,6.9,7.3,8.1,7.3,6.8
Top Secret!,7.2,8.0,7.6,6.9,6.8
Noah,5.0,4.1,7.5,5.4,6.8
Black Widow,6.7,9.1,7.9,,7.0
Whip It,6.9,7.4,8.5,6.8,6.8
Dick Tracy,6.6,5.3,6.3,7.6,6.8
Marvin's Room,6.7,6.3,8.4,8.0,6.8
Dragonslayer,6.6,6.2,8.3,6.1,6.8
Primer,6.7,7.9,7.3,7.5,6.8
The Girl on the Train,6.0,4.8,4.4,5.3,6.8
Four Lions,7.3,8.0,8.3,7.8,6.8
The Falcon and the Snowman,6.8,6.9,8.3,8.3,6.8
Sophie's Choice,7.5,8.5,7.8,7.8,6.8
Guinevere,4.8,5.4,8.6,8.1,6.8
Jurassic Park,8.2,9.1,9.1,8.8,6.8
Gladiator,6.5,8.7,7.9,8.8,6.7
Moon,5.0,8.9,9.0,8.3,6.7
Forgetting Sarah Marshall,7.1,7.6,8.3,7.5,6.7
Home,8.5,4.0,3.8,7.0,6.7
Bottle Rocket,6.7,7.9,8.5,8.5,6.7
Thirteen Days,7.3,8.0,8.3,7.5,6.7
Interiors,7.3,7.9,8.1,7.0,6.7
Kung Fu Panda 2,7.2,7.4,8.1,7.9,6.7
At Close Range,6.9,7.9,8.6,7.3,6.7
In Bruges,7.9,8.7,8.4,8.5,6.7
Running on Empty,5.7,6.9,8.1,7.6,6.7
Phantom of the Paradise,7.3,8.4,8.7,7.3,6.7
Bolt,3.8,7.4,9.0,8.2,6.7
Bananas,6.9,7.4,8.3,6.5,6.7
This Is the End,6.6,7.1,8.3,7.1,6.7
Sound of My Voice,6.6,6.6,7.5,7.3,6.7
Fatal Attraction,6.9,7.2,7.5,8.2,6.7
Fahrenheit 9/11,7.5,7.0,8.2,6.2,6.7
Stir of Echoes,6.9,7.0,6.7,8.3,6.7
Summer of Sam,6.7,6.0,5.0,1.4,6.7
Die Hard 2,7.1,7.0,7.0,8.3,6.7
The Wall,6.9,4.2,6.5,8.0,6.7
Charlie Wilson's War,7.0,7.3,8.2,6.7,6.7
A Midsummer Night's Dream,5.6,6.7,10.0,8.4,6.7
Ip Man 2,7.5,8.4,9.7,7.6,6.7
Dead Men Don't Wear Plaid,6.8,7.2,7.7,4.8,6.7
The Stanford Prison Experiment,6.8,7.5,8.4,7.6,6.7
Walking and Talking,6.7,7.0,8.8,5.4,6.7
Haywire,6.5,4.1,8.0,7.6,6.7
Kink,6.6,5.2,8.8,5.0,6.7
Perfect Blue,8.0,8.9,8.3,8.9,6.7
Akira,8.0,9.0,9.1,8.6,6.7
Silent Running,6.6,6.6,7.1,6.3,6.7
Annette,8.2,7.6,7.1,6.6,6.7
"Good Morning, Vietnam",7.3,8.2,8.9,7.8,6.7
Shallow Grave,7.3,8.3,7.1,8.4,6.7
Open Range,6.9,8.4,7.9,8.5,6.7
Enemy of the State,7.3,7.8,7.0,8.2,6.7
Ronin,7.2,8.0,7.0,8.2,6.7
Private Parts,6.4,6.8,7.3,7.0,6.7
Horror of Dracula,7.2,8.1,9.0,7.4,6.7
Blackboard Jungle,7.4,7.8,7.4,7.6,6.7
Poison,6.3,6.8,7.9,6.0,6.7
Runaway Train,7.2,7.6,8.3,6.8,6.7
The Circle,6.3,7.9,9.4,7.3,6.7
Garden State,7.4,8.8,8.6,8.5,6.7
The Green Prince,7.2,8.3,7.7,5.7,6.7
While You Were Sleeping,6.8,7.9,8.1,8.3,6.7
Freaky,8.5,8.0,8.3,6.4,6.7
1984,6.9,7.1,7.3,5.9,6.7
Furious 7,8.2,8.2,8.1,6.8,6.7
Reality Bites,6.6,7.4,6.3,8.0,6.7
Stranger Than Fiction,5.8,5.6,3.8,8.5,6.7
Arachnophobia,6.5,5.4,9.3,8.3,6.7
Damsels in Distress,8.4,3.9,7.5,5.4,6.7
Selena,6.8,7.7,6.7,8.8,6.7
Barney's Version,7.3,7.8,7.7,6.4,6.7
Over the Hedge,4.4,7.1,7.5,7.9,6.7
Cinemania,7.1,6.5,8.6,7.0,6.7
Confessions of a Dangerous Mind,7.0,7.5,7.9,8.4,6.7
Me Without You,6.7,7.8,6.7,7.3,6.7
Maps to the Stars,6.2,4.4,6.2,6.0,6.7
Hipsters,7.1,9.0,8.0,7.1,6.7
As Good as It Gets,7.7,8.6,8.6,8.4,6.7
Trust,7.4,7.0,7.1,6.8,6.7
Nancy,7.3,5.6,8.6,6.4,6.7
Outrage,6.7,7.6,7.7,7.1,6.7
True Stories,7.2,8.3,7.9,5.8,6.7
Somewhere,6.0,4.8,7.0,6.3,6.7
Oxygen,6.0,5.5,7.7,6.9,6.7
Frequency,7.4,8.1,7.0,8.6,6.7
Barbershop: The Next Cut,5.9,6.6,9.0,5.8,6.7
The Book of Life,6.5,7.7,8.3,7.3,6.7
Flanders,6.5,5.7,6.6,6.8,6.7
Ruby Sparks,7.2,7.5,7.9,8.1,6.7
Rock School,6.5,6.4,8.1,7.3,6.7
Fiddler on the Roof,8.0,9.2,8.4,8.1,6.7
Gabriel,6.1,7.9,8.4,7.8,6.7
I Saw the Devil,7.8,8.7,8.1,7.9,6.7
Kill List,6.4,5.8,7.8,6.5,6.7
Kung Fu Panda 3,7.1,7.8,8.6,7.5,6.6
Tupac: Resurrection,7.9,9.0,7.8,8.4,6.6
World Trade Center,6.0,6.0,6.6,5.6,6.6
Wonder,7.4,8.8,8.5,7.7,6.6
Jimi: All Is by My Side,5.7,3.6,6.5,5.0,6.6
Innerspace,6.8,6.5,8.2,8.1,6.6
The Shining,8.4,9.3,8.2,8.7,6.6
The Wind,8.0,4.8,8.1,6.1,6.6
Zelary,7.5,9.1,7.2,7.5,6.6
Behind the Mask: The Rise of Leslie Vernon,6.7,7.5,7.6,7.7,6.6
Son of Rambow,7.0,7.9,7.4,7.1,6.6
In Good Company,6.2,5.4,8.2,8.3,6.6
Ghost in the Shell 2: Innocence,7.4,8.0,6.4,7.4,6.6
Cop Car,6.3,5.3,8.2,6.1,6.6
Terminator 3: Rise of the Machines,6.3,4.6,6.9,7.4,6.6
Julie & Julia,7.0,7.0,7.8,7.3,6.6
Crimson Peak,6.5,5.5,7.3,7.6,6.6
Avengers: Age of Ultron,7.3,8.2,7.6,7.1,6.6
Captain America: The First Avenger,6.9,7.5,8.0,6.8,6.6
Born to Be Wild,5.7,8.4,9.8,7.4,6.6
City Island,7.3,7.9,8.2,8.2,6.6
Something's Gotta Give,6.7,6.9,7.2,6.2,6.6
Sausage Party,6.1,5.0,8.2,5.6,6.6
Dark Star,6.2,6.4,7.7,5.4,6.6
Diary of the Dead,6.5,4.1,6.1,5.3,6.6
Emma,7.0,7.7,8.4,8.2,6.6
Dead Again,6.8,7.6,8.2,8.0,6.6
Wiener-Dog,5.9,4.1,7.4,5.8,6.6
Crimson Tide,7.3,8.3,8.9,7.1,6.6
Cyrano,6.9,8.6,8.5,5.5,6.6
L.A. Story,6.7,7.5,9.3,7.2,6.6
Ever After,7.5,3.3,8.0,8.2,6.6
The Founder,6.0,8.2,8.1,7.4,6.6
Moonraker,6.2,4.3,5.9,5.9,6.6
Frantic,6.9,6.4,7.6,8.1,6.6
Seven Psychopaths,7.1,7.1,8.3,6.8,6.6
Dog Days,6.6,6.9,4.7,8.0,6.6
Tuck Everlasting,6.5,7.0,6.0,8.4,6.6
Pecker,6.3,6.4,5.2,7.4,6.6
Steamboy,6.8,6.8,6.0,8.3,6.6
American Me,7.1,9.0,7.3,6.2,6.6
Blue Thunder,6.4,5.2,7.8,7.8,6.6
Cowboys,7.5,5.9,9.2,7.4,6.6
Bronco Billy,6.1,4.8,7.5,6.6,6.6
Jealousy,5.4,4.5,7.3,5.3,6.6
Idiocracy,6.5,6.0,7.1,7.4,6.6
The BFG,6.7,5.7,7.4,6.0,6.6
Shaft,6.6,9.4,3.4,7.2,6.6
Diggers,5.4,5.7,7.0,6.5,6.6
Crash,4.3,8.8,7.4,8.5,6.6
Tommy,6.6,7.1,7.1,8.0,6.6
The Danish Girl,7.1,7.2,6.6,6.8,6.6
Game Night,9.0,7.7,8.5,7.2,6.6
Don Jon,6.5,5.8,8.0,6.9,6.6
So Close,6.6,7.7,8.2,7.0,6.6
The Eye,5.5,7.2,6.4,6.9,6.6
Bend It Like Beckham,6.7,7.3,8.5,7.6,6.6
Truth,7.4,6.2,6.3,6.9,6.6
Disorder,5.9,5.2,7.3,7.0,6.6
Parents,6.1,5.4,5.3,6.6,6.6
Dark City,6.7,8.5,7.5,8.6,6.6
Stardust,4.3,2.2,1.9,8.5,6.6
Talladega Nights: The Ballad of Ricky Bobby,6.6,7.3,7.1,6.5,6.6
I Am Trying to Break Your Heart,7.4,9.0,8.8,4.0,6.6
Valley Girl,6.4,8.2,5.9,7.7,6.6
We Don't Live Here Anymore,6.3,5.4,6.5,7.6,6.6
Strange Days,7.2,7.3,6.7,8.3,6.6
Carlito's Way,7.9,9.1,8.1,8.3,6.6
Byzantium,6.5,5.1,6.6,7.0,6.6
Talk Radio,7.2,8.0,8.2,7.0,6.6
Margot at the Wedding,6.0,4.0,5.2,6.0,6.6
White Noise,5.5,3.1,0.7,5.4,6.6
Kick-Ass,7.6,8.1,7.6,8.4,6.6
King of New York,6.9,7.7,7.0,6.9,6.6
Transamerica,7.4,8.3,7.7,7.8,6.6
Philadelphia,7.7,8.9,8.1,7.7,6.6
The Good Dinosaur,6.7,6.4,7.5,6.6,6.6
Miami Vice,7.5,4.3,4.7,5.6,6.6
Breaking,6.5,8.4,8.1,4.6,6.6
"Paris, je t'aime",7.2,8.4,8.6,6.9,6.6
Master,6.8,4.9,8.0,4.7,6.6
Another Earth,7.4,6.6,6.5,6.3,6.6
Let the Bullets Fly,7.3,7.2,7.6,7.0,6.6
Marshall,6.7,8.4,8.1,6.6,6.6
Butch Cassidy and the Sundance Kid,8.0,9.2,8.9,8.6,6.6
Splice,5.8,3.7,7.5,5.5,6.6
Barbershop,6.3,6.2,8.2,6.0,6.6
Heist,4.1,4.1,2.9,8.4,6.6
Bridget Jones's Diary,6.8,8.1,8.0,8.0,6.6
Harriet,7.8,9.7,7.4,7.1,6.6
Cobb,6.4,5.8,6.5,6.4,6.6
Fantastic Beasts and Where to Find Them,7.2,7.9,7.4,7.3,6.6
Beverly Hills Cop,7.4,8.2,8.3,8.4,6.6
Becoming,6.7,5.7,9.3,6.6,6.6
Earth Girls Are Easy,5.4,4.3,6.8,4.3,6.6
Mission: Impossible III,6.9,6.9,7.1,7.7,6.6
Shelter,5.2,8.5,6.0,8.3,6.6
Soylent Green,7.0,7.0,6.9,6.5,6.6
Frankie and Johnny,5.6,6.8,6.9,8.1,6.6
Mean Girls,7.1,6.6,8.4,8.2,6.6
Two Girls and a Guy,5.5,4.1,5.0,7.4,6.6
Delicatessen,7.5,9.1,8.9,7.3,6.6
Mrs. Parker and the Vicious Circle,6.4,6.1,7.6,5.8,6.6
Deadpool 2,7.6,8.5,8.4,7.9,6.6
The Amazing Spider-Man,6.2,7.7,7.1,7.1,6.6
Puzzle,6.5,7.5,8.3,,6.6
The Infiltrator,6.4,7.1,7.1,7.2,6.6
Pitch Perfect,6.4,8.3,8.1,7.3,6.6
Sea of Love,6.8,6.6,7.4,6.9,6.6
The Idol,5.3,6.6,8.3,6.8,6.6
Vivo,7.5,7.2,8.6,6.5,6.6
You're Next,4.9,6.0,7.9,7.0,6.6
Rogue One: A Star Wars Story,7.8,8.7,8.4,7.6,6.5
Tremors,7.1,7.5,8.8,7.8,6.5
White Men Can't Jump,6.8,6.8,7.7,7.3,6.5
Buried,8.4,6.5,8.7,5.7,6.5
Black Dynamite,7.4,8.5,8.3,8.4,6.5
Body Snatchers,6.0,3.9,7.0,5.7,6.5
Before the Fall,7.4,8.4,6.7,8.0,6.5
Harry Potter and the Sorcerer's Stone,7.6,8.2,8.1,7.8,6.5
Eden Lake,6.7,6.6,8.0,6.5,6.5
Closer,3.7,8.1,6.8,8.6,6.5
Batman: Mask of the Phantasm,7.8,8.8,8.6,7.1,6.5
Rain Man,8.0,9.0,8.9,8.5,6.5
Revenge of the Pink Panther,6.6,7.0,8.4,6.2,6.5
Shampoo,6.4,5.3,6.5,6.8,6.5
In the Valley of Elah,7.2,7.7,7.4,7.5,6.5
Black Christmas,7.1,7.5,7.1,7.0,6.5
The Rocky Horror Picture Show,7.4,8.5,7.9,7.9,6.5
My Best Friend,5.2,7.8,10.0,7.0,6.5
Mystery Science Theater 3000: The Movie,7.2,8.8,8.0,7.3,6.5
The Fox and the Hound,7.2,7.8,7.2,7.9,6.5
The Bay,6.3,4.3,7.7,6.8,6.5
Pinocchio,7.5,7.3,10.0,6.5,6.5
Puss in Boots,5.4,6.8,8.6,7.5,6.5
Monsters University,7.2,8.1,8.0,7.6,6.5
School Ties,6.9,6.8,6.0,7.0,6.5
Deadpool,8.0,9.0,8.5,8.0,6.5
Men,7.2,3.9,6.9,5.3,6.5
Panic Room,6.8,6.4,7.6,8.4,6.5
Dick,6.2,5.3,7.2,8.0,6.5
Arlington Road,7.2,7.4,6.3,8.1,6.5
Bad News Bears,5.8,4.6,4.8,6.4,6.5
Young Sherlock Holmes,6.8,6.3,6.4,7.4,6.5
Entertainment,7.5,4.5,8.2,6.1,6.5
Dan in Real Life,6.8,6.9,6.5,6.6,6.5
Get Him to the Greek,6.3,6.2,7.3,6.8,6.5
Saving Face,5.7,8.8,8.7,7.4,6.5
Ali,6.7,6.5,6.8,6.8,6.5
Samsara,8.2,8.9,10.0,7.9,6.5
